Gene names;LFQ intensity BUL_103;LFQ intensity BUL_30;LFQ intensity BUL_40;LFQ intensity BUL_47;LFQ intensity BUL_48;LFQ intensity BUL_5;LFQ intensity BUL_82;LFQ intensity BUL_90;LFQ intensity BUL_91;LFQ intensity MUL_11;LFQ intensity MUL_12;LFQ intensity MUL_22;LFQ intensity MUL_33;LFQ intensity MUL_54;LFQ intensity MUL_61;LFQ intensity MUL_78;LFQ intensity UL_1;LFQ intensity UL_15;LFQ intensity UL_21;LFQ intensity UL_34;LFQ intensity UL_4;LFQ intensity UL_50;LFQ intensity UL_51;LFQ intensity UL_6;Razor + unique peptides;Unique peptides;Q-value;Score;Intensity;MS/MS count;Protein IDs;Majority protein IDs;Protein names;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
ACAT1;22.90878;20.41163;21.2247;19.35497;21.65905;17.84626;20.73082;22.91015;21.97907;19.23273;21.25482;21.18586;21.81624;19.80763;22.64974;20.25465;18.61202;22.21866;21.38958;19.18839;22.11566;18.13596;16.85455;20.32158;20;20;0;58.895;776930000;77;"P24752;H0YEL7;P24752-2;E9PRQ6;E9PKF3";P24752;Acetyl-CoA acetyltransferase, mitochondrial;;;;;;;;;;;;
ACAT2;21.83495;21.33702;20.85125;20.76644;21.48148;19.24392;22.41307;22.01482;21.81229;21.42829;21.09107;19.03901;20.701;20.7123;22.05553;21.20036;19.75641;22.41905;20.84007;21.97642;20.99321;18.57782;19.03509;20.45423;11;11;0;79.049;907760000;60;"Q9BWD1;Q9BWD1-2";"Q9BWD1;Q9BWD1-2";Acetyl-CoA acetyltransferase, cytosolic;;;;;;;;;;;;
ACE;24.09321;23.41803;29.00086;23.48677;24.23652;20.51692;27.83406;23.11775;25.31347;26.42357;23.37252;17.82687;22.40538;23.72786;19.04463;23.73789;25.75875;20.49835;22.37329;25.9504;24.12613;26.07645;20.72459;22.71641;52;52;0;323.31;22830000000;473;"P12821;A0A0A0MSN4;P12821-2;P12821-3;P12821-4;F6X3S4;J3KTB8;J3QRX8;J3KTH9;J3KS28;J3KSQ5;J3QLR4;J3KRH5";"P12821;A0A0A0MSN4;P12821-2;P12821-3;P12821-4;F6X3S4";"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form";;;;;;;;;;;;
ACLY;23.84824;21.83449;24.24735;20.9159;22.67383;24.94449;24.81627;22.80739;24.21505;23.63788;23.95536;25.64922;24.44828;23.88325;27.75309;23.59218;21.93927;24.18192;25.28553;24.71356;23.76385;20.13483;19.94721;22.25934;57;57;0;323.31;10141000000;360;"P53396;P53396-2;P53396-3;K7ESG8;K7EIE7";"P53396;P53396-2;P53396-3";ATP-citrate synthase;;;;;;;;;;;;
ACO1;23.68121;25.29852;23.79848;20.5093;23.49069;23.36946;24.93274;23.49216;23.39532;23.58669;23.84336;22.75607;22.63788;22.33137;23.41429;23.17726;23.29754;21.5148;22.9117;21.54444;22.09623;19.36909;18.24216;20.8789;43;43;0;122.21;3861200000;211;"P21399;O00408;F5H2R8;F5H143;F5H3Z7;E9PEF1;O00408-5;O00408-4;O00408-3";P21399;Cytoplasmic aconitate hydratase;;;;;;;;;;;;
ACO2;20.42286;22.56642;21.11254;20.55833;20.95532;22.13223;22.14538;20.96113;20.26029;20.62596;22.1045;20.50135;22.64397;20.83815;23.29698;21.06677;18.93727;20.89334;22.21;19.62719;23.02994;18.62403;18.96611;19.18602;22;22;0;66.412;888390000;77;"Q99798;A2A274";"Q99798;A2A274";Aconitate hydratase, mitochondrial;;;;;;;;;;;;
ACP1;19.88105;21.38559;22.01648;19.21326;20.54453;21.01937;20.95156;20.03308;20.36965;22.2075;22.06727;22.99809;23.00565;22.04206;24.77937;21.7248;21.09732;21.41508;20.10802;19.70791;21.71264;20.43837;17.07393;20.77242;9;9;0;135.43;1328100000;95;"P24666;G5E9R5;P24666-4;P24666-2;F2Z2Q9;P24666-3;D3YTI2";"P24666;G5E9R5;P24666-4;P24666-2;F2Z2Q9;P24666-3";Low molecular weight phosphotyrosine protein phosphatase;;;;;;;;;;;;
ACSL4;22.30117;18.98002;23.45914;23.50264;22.4122;23.30382;23.26456;20.87305;22.45463;23.46139;21.81124;22.25664;22.14099;21.95925;21.39493;22.64441;25.28408;22.93308;22.42047;22.47291;22.26244;23.78826;19.77233;21.82885;46;43;0;147.72;2718700000;181;"O60488;O60488-2;D6RF95;H0Y9A0;D6RD96;D6RFW9;D6RDA8";"O60488;O60488-2";Long-chain-fatty-acid--CoA ligase 4;;;;;;;;;;;;
"ACTC1;ACTA1";28.47773;28.45611;28.76686;27.42326;29.87116;28.7977;29.25056;29.2754;29.56993;28.75907;27.3013;27.94938;27.28021;28.81562;29.00697;28.38257;29.06771;27.44987;26.74085;29.61272;26.78432;27.92988;28.40682;28.40523;18;3;0;323.31;1.63E+11;691;"P68032;P68133;A6NL76";"P68032;P68133;A6NL76";"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle";;;;;;;;;;;;
ACTG1;31.82767;31.74093;33.37179;31.69087;31.59682;32.93732;31.54315;31.91392;32.19507;32.90598;32.02254;31.5591;31.92868;32.50765;32.36906;31.8919;33.51993;33.0215;32.41978;31.6139;31.69715;32.43457;30.2571;32.07941;51;0;0;323.31;1.6351E+12;6678;"P63261;I3L3I0;I3L1U9;I3L4N8";P63261;"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed";;;;;;;;;;;;
ACTN1;25.3049;25.12778;25.04172;25.5516;25.20419;26.07627;25.88632;26.27003;25.31167;24.95939;24.50561;23.94708;24.83716;24.29859;23.79769;24.70767;25.71117;25.241;25.01899;25.09945;24.8616;25.06419;22.79875;24.80188;44;41;0;323.31;9282200000;514;"P12814;P12814-3;P12814-2;P12814-4;H9KV75;G3V2N5;G3V2W4;H7C5W8;H0YJW3;Q08043;H0YJ11;A0A087WSZ2;G3V2X9;G3V5M4;G3V2E8;G3V380;D6RH00";"P12814;P12814-3;P12814-2;P12814-4;H9KV75";Alpha-actinin-1;;;;;;;;;;;;
ACTN4;27.48039;26.51241;27.90816;27.15538;26.9149;27.29938;27.29728;27.61477;27.43667;27.90833;26.57504;26.91342;27.32208;26.90311;26.39121;27.64739;28.12638;26.29614;26.83798;27.18905;26.00151;27.41748;25.25753;26.8276;86;24;0;323.31;43759000000;1785;"O43707;O43707-2;F5GXS2;O43707-3;K7EP19";"O43707;O43707-2";Alpha-actinin-4;;;;;;;;;;;;
ACTR1A;25.05424;23.77565;23.93616;21.20054;24.1172;22.54149;24.68603;25.05138;25.00877;23.52695;23.3692;24.93867;24.44998;22.23669;25.90511;23.50203;23.126;24.43898;23.26456;24.27739;23.04153;21.86974;20.54896;23.2939;17;9;0;167.06;6324900000;172;"P61163;R4GMT0";"P61163;R4GMT0";Alpha-centractin;;;;;;;;;;;;
ACTR2;25.36713;23.79223;25.53878;25.1922;25.16661;25.4693;24.87357;25.22865;25.07218;25.1481;24.63084;26.18031;26.03551;24.88981;26.60187;25.30762;25.07668;26.05984;25.296;26.17455;24.20284;24.55174;23.87211;24.22111;27;7;0;323.31;14350000000;630;"P61160;P61160-2";"P61160;P61160-2";Actin-related protein 2;;;;;;;;;;;;
ACTR3;26.60964;24.71172;26.96719;26.10145;26.19443;26.21416;25.92798;26.59049;26.4729;26.78768;25.90555;27.54929;27.07775;26.28131;27.74753;26.22008;26.7196;27.16269;26.73001;27.17969;25.79543;25.88704;24.7545;25.58984;34;29;0;323.31;27426000000;819;"P61158;B4DXW1;F8WDR7;C9IZN3;F8WEW2;F8WE84";"P61158;B4DXW1";Actin-related protein 3;;;;;;;;;;;;
ADAM10;23.88483;17.40614;22.08119;24.00821;23.86353;21.67401;24.01861;23.28856;22.70535;22.35576;21.5426;21.82058;22.63733;22.64709;20.07744;23.46476;23.90729;21.17072;21.64742;23.28799;22.45287;22.37878;21.44045;22.5523;25;25;0;300.79;3055400000;190;"O14672;O14672-2;H0YNC5;H3BS53;H0YK87;C9J9B4";"O14672;O14672-2";Disintegrin and metalloproteinase domain-containing protein 10;;;;;;;;;;;;
ADD1;22.05172;21.42624;22.11378;21.42044;21.95688;23.6659;22.77914;20.87087;21.47531;22.48635;21.04793;25.81399;23.87577;20.55412;23.41893;20.84827;22.9606;19.39389;20.77177;22.38727;22.32215;21.47576;16.29522;19.77936;30;30;0;323.31;2555800000;150;"P35611;P35611-2;E7EV99;E7ENY0;P35611-6;P35611-3;P35611-4;P35611-5;H0Y9H2;A0A0A0MSR2;D6RF25;D6RJE2;D6RAH3;H0YFD8;H0YG19";"P35611;P35611-2;E7EV99;E7ENY0;P35611-6;P35611-3;P35611-4;P35611-5;H0Y9H2;A0A0A0MSR2";Alpha-adducin;;;;;;;;;;;;
ADD2;15.83054;18.25996;16.7059;18.66501;16.40514;20.64324;20.26167;17.76351;18.49637;20.85179;18.56156;26.54637;22.98931;19.42286;25.70422;19.55118;17.98676;20.07832;18.17714;18.41539;19.80645;20.98891;17.79017;17.21996;36;35;0;323.31;2781600000;105;"P35612;P35612-4;P35612-3;P35612-2;P35612-8;P35612-9;C9JTM0;P35612-5;P35612-6;C9J080;C9J299;P35612-7";"P35612;P35612-4;P35612-3;P35612-2;P35612-8;P35612-9";Beta-adducin;;;;;;;;;;;;
ADD3;20.87267;19.9356;20.69115;19.73334;20.77595;18.04697;22.93314;20.57459;21.64606;18.89454;18.36458;20.79939;20.4;19.34904;20.13558;20.52124;21.46837;19.74513;20.0794;19.72589;20.64799;19.15793;18.60528;17.9083;17;17;0;39.969;604850000;52;"Q9UEY8;A0A087WX08;Q9UEY8-2";"Q9UEY8;A0A087WX08;Q9UEY8-2";Gamma-adducin;;;;;;;;;;;;
ADH1B;22.22568;20.41741;16.97846;18.55839;24.34969;17.48022;18.70715;20.21525;17.9063;17.0024;17.01661;19.87067;18.86193;20.01386;19.20622;17.97673;28.36836;18.73623;16.8219;25.63882;19.32979;17.26059;16.44003;19.99722;30;11;0;323.31;7768700000;134;"P00325;P00325-2;D6RHZ6;P08319;H0Y9N0;D6RIB1;D6R9K8;A0A0D9SFB5;P08319-2";"P00325;P00325-2;D6RHZ6";Alcohol dehydrogenase 1B;;;;;;;;;;;;
ADH5;25.55482;27.12613;25.59009;22.4765;25.10262;24.17204;27.4073;25.71592;25.56976;25.3947;25.57233;22.52289;24.47153;23.80971;23.17476;23.81831;24.40484;23.64702;23.05359;23.71219;25.57257;22.8644;19.6158;23.44038;22;22;0;323.31;14308000000;310;"P11766;H0YAG8;D6RFE4;D6R9G2;D6RAY0";"P11766;H0YAG8";Alcohol dehydrogenase class-3;;;;;;;;;;;;
ADK;18.6346;20.96769;20.85909;18.78777;19.75218;20.54802;19.50294;20.35928;20.10942;21.28224;21.01236;20.32619;23.36626;21.05411;23.62656;18.30466;19.38606;19.01685;22.02019;21.22176;20.16079;19.14108;16.23316;18.85251;12;12;0;79.695;585700000;46;"P55263;P55263-3;P55263-2;P55263-4";"P55263;P55263-3;P55263-2;P55263-4";Adenosine kinase;;;;;;;;;;;;
ADSL;21.81542;22.36456;21.79448;21.07535;21.5904;23.13851;22.79679;22.0473;22.16573;22.1354;20.74279;25.94601;23.04061;22.48431;26.1703;22.57704;20.57589;21.76146;21.71875;21.07137;23.43326;18.7577;18.1602;20.26075;23;23;0;172.28;3458200000;114;"P30566;A0A0A6YY92;P30566-2;A0A096LNY6;A0A096LNY5;A0A096LPA2;A0A096LNY4;B4DEP1;A0A096LP72;A0A096LP92;A0A096LNT4;A0A096LP76;V9GY96;A0A096LNT0";"P30566;A0A0A6YY92;P30566-2;A0A096LNY6;A0A096LNY5";Adenylosuccinate lyase;;;;;;;;;;;;
ADSS;21.53512;21.83965;21.34028;22.78111;20.57321;22.93406;21.44743;22.13849;21.90954;21.14812;20.31063;20.46304;22.82751;19.79616;23.50337;21.14576;19.62671;21.91751;21.841;20.11312;20.69447;20.093;15.46028;19.36741;18;18;0;52.517;963770000;86;P30520;P30520;Adenylosuccinate synthetase isozyme 2;;;;;;;;;;;;
AFM;22.52224;26.4332;21.33194;23.15714;22.4341;22.82652;22.32589;24.4197;24.21727;23.47754;25.0344;22.50069;23.88577;25.07778;21.07816;23.11566;22.39488;22.68588;19.88011;21.94913;18.93367;25.13946;25.9271;23.83461;32;32;0;178.72;3098600000;222;"P43652;CON__REFSEQ:XP_585019";P43652;Afamin;;;;;;;;;;;;
AGL;18.09949;18.52282;19.18896;18.62578;19.00284;18.19268;24.36393;18.31336;18.15254;17.63048;18.2321;21.82738;23.25364;17.80826;25.92368;19.44451;16.79589;19.77385;17.96144;19.29396;19.44087;20.88126;16.17037;18.79721;55;55;0;141.9;2037700000;115;"P35573;P35573-2;P35573-3";"P35573;P35573-2;P35573-3";"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase";;;;;;;;;;;;
AGO2;21.47591;18.90106;21.01822;21.28912;21.48861;22.84678;21.42568;20.86098;20.25753;20.22482;19.53579;23.60399;22.7035;22.02773;25.51364;20.37984;19.67621;20.08796;23.04206;22.27844;21.99831;18.65306;17.36487;18.81236;35;28;0;146.58;1716400000;142;"Q9UKV8;Q9UKV8-2;E5RJY2";"Q9UKV8;Q9UKV8-2";Protein argonaute-2;;;;;;;;;;;;
AGR2;24.86703;16.67745;24.74098;23.32169;25.03888;23.69232;25.74753;25.0728;26.07841;20.73719;26.80132;22.78197;22.90709;24.29761;22.78498;22.66206;22.69984;25.90697;26.53205;24.61588;23.61257;20.23491;20.63085;25.31845;12;2;0;281.29;6187600000;176;O95994;O95994;Anterior gradient protein 2 homolog;;;;;;;;;;;;
AGRN;25.07361;19.22506;22.98864;19.15832;24.98794;17.38017;20.84774;23.73469;24.1145;20.8278;22.321;23.84336;23.43097;22.18758;19.78099;26.68016;22.55812;24.60065;25.11775;25.41696;22.28376;22.88293;26.10605;25.81541;56;56;0;186.4;5522000000;257;"O00468-6;O00468-7;O00468-3;O00468;O00468-5;O00468-4;A0A087X208;O00468-2;H0Y5U1";"O00468-6;O00468-7;O00468-3;O00468;O00468-5;O00468-4;A0A087X208;O00468-2";"Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment";;;;;;;;;;;;
AGT;25.1027;27.2632;24.53499;25.30379;25.11239;25.14036;24.39401;26.1848;26.00524;25.52588;27.26874;24.62226;25.55687;26.2021;24.03599;25.96484;24.27106;24.79937;23.00936;22.8766;22.34432;27.56318;26.23268;24.35562;15;15;0;323.31;6779800000;223;P01019;P01019;"Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4";;;;;;;;;;;;
AHCY;25.06907;26.46813;25.13856;26.36269;24.57721;25.11827;24.75812;25.87568;25.19028;24.50434;25.00783;24.6971;25.46348;24.53184;26.58334;23.80144;23.91934;25.46317;25.02052;23.08521;25.34492;23.63799;22.33164;23.07335;30;30;0;224.08;9823800000;415;"P23526;P23526-2";"P23526;P23526-2";Adenosylhomocysteinase;;;;;;;;;;;;
AHCYL1;27.05972;23.4038;25.94297;22.09452;25.2933;21.47882;25.89125;23.93022;25.09985;25.53353;24.73995;26.58992;25.80902;24.74586;26.82857;24.87671;26.45892;25.7889;24.21022;25.60173;25.38004;23.98477;21.35917;24.73324;28;15;0;88.476;16867000000;185;"O43865;O43865-2";"O43865;O43865-2";Putative adenosylhomocysteinase 2;;;;;;;;;;;;
AHNAK;28.91573;28.54911;28.37273;28.40771;29.2595;26.96202;29.41317;29.70101;28.80412;27.65854;27.23078;29.17715;29.05688;28.3682;29.12349;28.01616;28.37277;28.24454;30.49372;28.13085;28.12455;27.85656;25.57482;28.85237;456;455;0;323.31;1.5167E+11;5446;"Q09666;E9PJZ0;E9PKR9;E9PJC6;E9PLK4;Q09666-2;E9PQE3";Q09666;Neuroblast differentiation-associated protein AHNAK;;;;;;;;;;;;
AHSA1;22.01658;21.10028;22.17493;21.61491;22.19202;21.88383;22.12843;21.4491;22.34579;21.57293;21.00949;22.21972;21.71238;21.97383;21.29524;21.48954;20.76579;22.07705;21.59126;21.43512;21.94921;20.72017;18.37183;21.56881;18;18;0;70.381;1074100000;70;"O95433;O95433-2;G3V438;H0YJG7;H0YJU2;H0YJ63;G3V3W9";"O95433;O95433-2;G3V438;H0YJG7";Activator of 90 kDa heat shock protein ATPase homolog 1;;;;;;;;;;;;
AHSG;27.44593;29.59229;26.49965;26.17819;26.87079;25.62809;25.98559;28.07796;27.96284;27.4377;29.10325;26.14443;28.59103;28.25368;24.94297;26.76711;27.13829;27.52627;26.34469;26.40609;27.13761;28.34155;29.1152;27.9253;19;15;0;323.31;40601000000;879;"P02765;C9JV77";"P02765;C9JV77";"Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B";;;;;;;;;;;;
AIFM1;23.70535;20.14954;21.95582;23.95269;22.98021;19.81956;20.93265;24.12597;23.8551;19.79271;20.45994;18.94372;19.06645;21.83519;21.69277;20.52181;20.02066;23.1918;19.41959;22.83692;22.0432;20.10649;19.48799;21.90705;22;22;0;56.57;1258200000;117;"O95831;O95831-3;O95831-2;E9PMA0;O95831-5;O95831-6;O95831-4";"O95831;O95831-3;O95831-2;E9PMA0;O95831-5";Apoptosis-inducing factor 1, mitochondrial;;;;;;;;;;;;
AIMP1;22.8747;21.2052;21.20854;19.2184;20.68286;17.78014;22.8498;21.74899;22.1916;20.09249;19.32366;22.01393;22.32619;20.9612;22.48171;19.82064;19.88427;21.31584;21.55183;23.13863;23.5134;19.12825;18.25792;21.19196;16;16;0;153.63;1067400000;98;"Q12904;Q12904-2;D6R937";"Q12904;Q12904-2";"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2";;;;;;;;;;;;
AIMP2;21.32014;20.9549;21.24968;18.5604;18.76186;18.72605;20.75516;20.31473;21.20932;18.59975;18.94192;20.80719;21.47823;20.66162;21.84472;20.59869;19.39908;21.3588;20.84812;22.154;22.32581;17.31647;18.12014;20.59159;7;7;0;81.519;578090000;61;"Q13155;A8MU58;F8W950";"Q13155;A8MU58;F8W950";Aminoacyl tRNA synthase complex-interacting multifunctional protein 2;;;;;;;;;;;;
AIP;22.23894;19.83701;20.74197;19.08706;21.81049;18.92412;21.37613;20.39728;21.29193;19.96084;19.51707;21.51268;20.94156;20.4001;21.47035;19.85026;20.10303;22.02049;21.04066;20.99044;21.17512;17.34062;16.05204;20.70312;18;18;0;61.583;748660000;69;"O00170;E9PMH2;V9GYQ3";"O00170;E9PMH2";AH receptor-interacting protein;;;;;;;;;;;;
AK1;23.78377;23.79342;24.48781;21.56695;23.58245;24.13696;23.0119;23.95287;24.38877;24.40801;25.25433;23.51569;24.50494;24.46775;23.07946;24.7569;23.33101;23.27085;23.40302;22.223;23.79719;22.07346;16.94187;22.96097;17;17;0;112.99;3682200000;200;"P00568;Q5T9B7;H0Y4J6;H0YID2;Q9Y6K8;Q9Y6K8-2;Q9Y6K8-3";"P00568;Q5T9B7;H0Y4J6";Adenylate kinase isoenzyme 1;;;;;;;;;;;;
AK2;21.30691;22.8742;21.31108;18.7918;21.75185;20.51345;20.15289;21.86223;21.37968;19.53867;20.54416;19.57261;20.52143;21.47912;20.71079;21.39571;18.94281;22.59181;21.40104;20.68003;21.45628;19.89795;20.10072;21.14439;10;10;0;24.198;614630000;70;"P54819;F8W1A4;P54819-5;P54819-2;F8VZG5;P54819-3;G3V213;P54819-6;F8VY04;P54819-4;F8VPP1";"P54819;F8W1A4;P54819-5;P54819-2;F8VZG5;P54819-3;G3V213;P54819-6;F8VY04;P54819-4";"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed;Adenylate kinase 2, mitochondrial";;;;;;;;;;;;
AKAP12;24.3575;27.22066;22.09197;22.40438;24.0685;18.58505;24.05333;24.53967;23.65141;23.66101;20.15041;17.99009;19.70931;21.71498;19.25107;19.25116;22.74598;20.09352;17.46939;22.67951;24.13907;22.00127;18.05877;21.4805;58;58;0;323.31;2619700000;208;"Q02952;Q02952-3;Q02952-2";"Q02952;Q02952-3;Q02952-2";A-kinase anchor protein 12;;;;;;;;;;;;
AKR1A1;23.05676;24.59537;24.74278;23.37981;23.46251;23.45613;24.52055;23.63434;23.51304;25.44743;25.52217;21.80542;25.42233;23.53005;24.20217;23.91707;24.42873;22.11401;25.62218;23.47172;24.97871;22.84196;18.88104;23.30675;24;24;0;323.31;5817800000;314;"P14550;Q5T621;V9GYG2;V9GYP9";P14550;Alcohol dehydrogenase [NADP(+)];;;;;;;;;;;;
AKR1B1;20.77233;24.17265;22.57792;21.41978;21.63338;21.25891;22.12089;21.3765;20.38722;22.77995;21.65053;19.91623;21.05729;21.32904;19.12419;22.57616;22.99072;20.07104;23.26942;20.21975;23.20405;19.95262;17.24459;20.86665;14;13;0;41.966;1380800000;76;"P15121;E9PCX2;E9PEF9";"P15121;E9PCX2";Aldose reductase;;;;;;;;;;;;
AKR7A2;24.47017;25.68276;24.07186;21.79142;24.28553;22.68795;23.69933;23.42483;23.70525;23.37478;23.57658;22.30207;23.6424;22.60483;23.92488;23.34854;22.78195;22.72011;24.60693;22.58944;24.60507;21.4314;16.63302;22.77002;17;17;0;80.786;3959000000;200;"O43488;H3BLU7;H7C5H7;Q8NHP1;O95154";"O43488;H3BLU7";Aflatoxin B1 aldehyde reductase member 2;;;;;;;;;;;;
